ev_rank,route_id,tdi,avg_weekday_boardings_uncorrected,equity_volume_score,in_eng_corridor
1,28,3.00,52503,157355,TRUE
2,23,2.98,46058,137309,TRUE
3,66,2.48,50200,124546,TRUE
4,1,2.45,42030,103002,FALSE
5,39,2.43,38477,93381,FALSE
6,743,2.71,33991,92083,FALSE
7,111,2.22,40906,90731,FALSE
8,22,2.76,31792,87782,FALSE
9,749,2.56,34053,87228,FALSE
10,57,2.33,35264,82154,FALSE
11,32,2.40,30386,72907,FALSE
12,116,2.66,27209,72304,FALSE
13,16,2.67,25801,68985,FALSE
14,15,2.83,21648,61342,FALSE
15,117,2.48,24478,60800,FALSE
